Model,Accuracy,Precision,Recall,F1,AUC,model_object
Random Forest,0.9622251094750012,0.9688868402857801,0.942283985206769,0.955400261348787,0.9935249843836438,RandomForestClassifier(random_state=42)
Decision Tree,0.9054424714883788,0.8997012867647058,0.8776196346520229,0.8885232881375164,0.9667484174824029,"DecisionTreeClassifier(max_depth=5, random_state=42)"
Logistic Regression,0.8750300755497811,0.8637304507819688,0.8417572565280735,0.8526023043305523,0.9271076107807683,"LogisticRegression(max_iter=1000, random_state=42)"
